0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0.05160538	0.01005797	0	0	0	0	0	0	0	0	0.04023188	0	0	0	0	0	0	0	0	
0	0	0	0.3010409	0.01993659	0	0	0	0	0	0	0	0	0.2051919	0	0	0	0	0	0	0	0	
0	0	0	0.9997333	0.02973649	0	0	0	0	0	0	0	0	0.9997333	0	0	0	0	0	0	0	0	
0	0	0	0.9997333	0.04071419	0	0	0	0	0	0	0	0	0.9997333	0	0	3.330541E-05	0	0	0	0	0	
0	0	0	0.9997333	0.06228881	0	0	0	0	0	0	0	0	0.9997333	0	0	0.000474315	0	0	0	0	0	
0	0	0	0.9997333	0.2357671	0	0	0	0	0	0	0	0	0.9997333	0	0	0.001404952	0	0	0	0	0	
0	0.02038888	0	0.9997333	0.9997333	0	0	0	0	0	0	0.002660985	0	0.9997333	0	0	0.00272984	0	0.03235268	0	0	0	
0	0.2174553	0	0.9997333	0.9997333	0	0	0	0	0	0	0.007951126	0	0.9997333	0	0	0.004273035	0	0.3430187	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.01319912	0	0.9997333	0	0	0.005803932	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.0229675	0	0.9997333	0	0	0.007322633	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.1008466	0	0.9997333	0	0	0.008829233	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.5662041	0	0.9997333	0	0	0.01031511	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.9997333	0	0.9997333	0	0	0.01177415	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.9997333	0	0.9997333	0	0	0.01322157	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.9997333	0	0.9997333	0	0	0.01465745	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.9997333	0	0.9997333	0	0	0.01608189	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.9997333	0	0.9997333	0	0	0.01749496	0	0.9997333	0	0	0	
0	0.9997333	0	0.9997333	0.9997333	0	0	0	0	0	0	0.9997333	0	0.9997333	0	0	0.01889677	0	0.9997333	0	0	0	
